iter	Passed	Remaining
575	4270	3143
576	4276	3135
577	4282	3126
578	4287	3117
579	4293	3109
580	4299	3100
581	4305	3092
582	4311	3083
583	4316	3075
584	4322	3066
585	4327	3057
586	4335	3050
587	4341	3042
588	4347	3033
589	4353	3025
590	4359	3017
591	4366	3009
592	4372	3001
593	4378	2992
594	4384	2984
595	4390	2976
596	4399	2969
597	4407	2962
598	4414	2955
599	4421	2947
600	4427	2939
601	4435	2932
602	4441	2923
603	4447	2916
604	4456	2909
605	4463	2902
606	4471	2894
607	4477	2886
608	4482	2878
609	4489	2870
610	4496	2862
611	4502	2854
612	4509	2846
613	4514	2838
614	4521	2830
615	4528	2823
616	4535	2815
617	4542	2807
618	4547	2799
619	4553	2790
620	4560	2783
621	4567	2775
622	4575	2768
623	4586	2763
624	4598	2759
625	4610	2754
626	4619	2748
627	4626	2740
628	4635	2733
629	4643	2727
630	4653	2721
631	4662	2714
632	4669	2707
633	4677	2700
634	4685	2692
635	4692	2685
636	4698	2677
637	4705	2670
638	4714	2663
639	4721	2656
640	4729	2648
641	4736	2641
642	4744	2634
643	4752	2626
644	4759	2619
645	4765	2611
646	4774	2605
647	4782	2597
648	4789	2590
649	4797	2583
650	4805	2576
651	4814	2569
652	4820	2561
653	4828	2554
654	4835	2547
655	4843	2539
656	4852	2533
657	4859	2525
658	4868	2519
659	4876	2512
660	4884	2504
661	4892	2497
662	4899	2490
663	4907	2483
664	4914	2475
665	4922	2468
666	4932	2462
667	4941	2455
668	4951	2449
669	4959	2442
670	4967	2435
671	4975	2428
672	4982	2421
673	4989	2413
674	5002	2408
675	5012	2402
676	5021	2395
677	5028	2388
678	5036	2380
679	5043	2373
680	5053	2367
681	5062	2360
682	5070	2353
683	5081	2347
684	5090	2340
685	5099	2334
686	5106	2326
687	5112	2318
688	5119	2310
689	5126	2303
690	5134	2295
691	5141	2288
692	5149	2281
693	5156	2273
694	5164	2266
695	5170	2258
696	5176	2250
697	5185	2243
698	5194	2236
699	5201	2229
700	5208	2221
701	5216	2214
702	5225	2207
703	5232	2200
704	5240	2192
705	5248	2185
706	5256	2178
707	5264	2171
708	5272	2163
709	5280	2156
710	5287	2149
711	5296	2142
712	5303	2134
713	5311	2127
714	5318	2119
715	5326	2112
716	5335	2105
717	5341	2098
718	5349	2090
719	5355	2082
720	5363	2075
721	5372	2068
722	5380	2061
723	5391	2055
724	5401	2048
725	5416	2044
726	5423	2036
727	5430	2028
728	5436	2021
729	5443	2013
730	5452	2006
731	5460	1999
732	5468	1991
733	5475	1984
734	5482	1976
735	5490	1969
736	5497	1961
737	5505	1954
738	5512	1946
739	5519	1939
740	5527	1932
741	5535	1924
742	5542	1917
743	5552	1910
744	5559	1903
745	5570	1896
746	5576	1888
747	5583	1881
