iter	Passed	Remaining
643	26272	14523
644	26310	14480
645	26348	14438
646	26386	14396
647	26424	14354
648	26470	14316
649	26510	14274
650	26547	14232
651	26605	14200
652	26654	14163
653	26702	14127
654	26745	14087
655	26787	14047
656	26826	14005
657	26866	13964
658	26905	13922
659	26944	13880
660	26981	13837
661	27021	13796
662	27059	13754
663	27116	13721
664	27169	13687
665	27214	13648
666	27257	13608
667	27301	13568
668	27342	13528
669	27380	13485
670	27422	13445
671	27460	13403
672	27499	13361
673	27535	13318
674	27577	13277
675	27618	13237
676	27656	13194
677	27699	13155
678	27745	13116
679	27786	13075
680	27831	13037
681	27873	12996
682	27915	12956
683	27952	12913
684	27991	12872
685	28032	12831
686	28072	12789
687	28113	12749
688	28152	12707
689	28190	12665
690	28230	12624
691	28271	12583
692	28308	12540
693	28349	12499
694	28387	12458
695	28426	12416
696	28464	12374
697	28504	12332
698	28542	12290
699	28580	12248
700	28621	12208
701	28660	12166
702	28699	12124
703	28741	12084
704	28781	12043
705	28820	12001
706	28859	11960
707	28901	11919
708	28941	11878
709	28983	11838
710	29027	11798
711	29066	11757
712	29104	11715
713	29142	11673
714	29182	11632
715	29222	11591
716	29262	11550
717	29304	11509
718	29341	11467
719	29380	11425
720	29417	11383
721	29454	11341
722	29491	11298
723	29531	11258
724	29572	11217
725	29612	11176
726	29653	11135
727	29692	11093
728	29731	11052
729	29769	11010
730	29809	10969
731	29849	10928
732	29888	10887
733	29934	10848
734	29971	10806
735	30014	10765
736	30054	10724
737	30115	10691
738	30154	10650
739	30194	10609
740	30237	10568
741	30280	10528
742	30321	10488
743	30367	10449
744	30415	10410
745	30464	10372
746	30512	10334
747	30560	10295
748	30604	10256
749	30646	10215
750	30689	10175
751	30727	10133
752	30765	10091
753	30805	10050
754	30849	10010
755	30886	9968
756	30925	9927
757	30965	9886
758	31002	9844
759	31044	9803
760	31080	9761
761	31118	9719
762	31163	9679
763	31203	9638
764	31243	9597
765	31282	9556
766	31320	9514
767	31361	9473
768	31398	9431
769	31438	9390
770	31482	9350
771	31521	9309
772	31562	9268
773	31608	9229
774	31647	9187
775	31700	9150
776	31748	9111
777	31793	9072
778	31834	9031
779	31873	8989
780	31911	8948
781	31953	8907
782	31991	8866
783	32033	8825
784	32074	8784
785	32114	8743
786	32159	8703
787	32199	8662
788	32240	8621
789	32282	8581
790	32325	8541
791	32371	8501
792	32414	8461
793	32456	8420
794	32500	8380
795	32539	8339
796	32581	8298
797	32624	8258
798	32666	8217
799	32706	8176
800	32750	8136
801	32795	8096
802	32833	8055
803	32873	8013
804	32911	7972
805	32952	7931
806	32993	7890
807	33031	7849
808	33086	7811
809	33127	7770
810	33171	7730
811	33213	7689
812	33257	7649
813	33297	7608
814	33336	7567
815	33378	7526
816	33419	7485
817	33461	7445
818	33499	7403
819	33535	7361
820	33574	7320
821	33615	7279
822	33652	7237
823	33691	7196
824	33731	7155
825	33769	7113
826	33808	7072
827	33850	7031
828	33891	6990
829	33931	6949
830	33970	6908
831	34010	6867
832	34050	6826
833	34089	6785
834	34127	6743
835	34166	6702
836	34204	6661
837	34242	6619
838	34281	6578
839	34322	6537
840	34362	6496
841	34399	6454
842	34440	6414
843	34478	6372
844	34518	6331
845	34560	6291
846	34599	6249
847	34637	6208
848	34675	6167
849	34713	6125
850	34755	6085
851	34796	6044
852	34836	6003
853	34874	5962
854	34913	5920
855	34951	5879
856	34993	5838
857	35035	5798
